Symbol,Side,Qty,Fill price,Status,Placed time,Closing time,Order ID
XAUUSD,Buy,0.5,3374.83,Filled,,2026-06-11 10:45:00,TV2051
NAS100,Sell,1.0,21905.73,Filled,2026-06-11 11:52:00,,TV2052
NAS100,Buy,1.0,21931.03,Filled,,2026-06-11 12:23:00,TV2053
EURUSD,Buy,1.0,1.08732,Filled,2026-06-11 10:48:00,,TV2054
EURUSD,Sell,1.0,1.08992,Filled,,2026-06-11 12:07:00,TV2055
NAS100,Buy,1.0,21931.03,Filled,2026-06-11 11:51:00,,TV2056
NAS100,Sell,1.0,21963.80,Filled,,2026-06-11 12:57:00,TV2057
EURUSD,Sell,1.0,1.08992,Filled,2026-06-12 10:06:00,,TV2058
EURUSD,Buy,1.0,1.09166,Filled,,2026-06-12 10:16:00,TV2059
XAUUSD,Buy,0.5,3374.83,Filled,2026-06-12 09:49:00,,TV2060
XAUUSD,Sell,0.5,3379.42,Filled,,2026-06-12 10:03:00,TV2061
EURUSD,Sell,1.0,1.09166,Filled,2026-06-12 11:58:00,,TV2062
EURUSD,Buy,1.0,1.09286,Filled,,2026-06-12 12:35:00,TV2063
NAS100,Buy,1.0,21963.80,Filled,2026-06-12 12:17:00,,TV2064
NAS100,Sell,1.0,22014.44,Filled,,2026-06-12 12:58:00,TV2065
US500,Buy,1.0,5962.68,Filled,2026-06-12 11:02:00,,TV2066
US500,Sell,1.0,5970.96,Filled,,2026-06-12 12:36:00,TV2067
US500,Sell,1.0,5970.96,Filled,2026-06-12 11:13:00,,TV2068
US500,Buy,1.0,5979.07,Filled,,2026-06-12 12:46:00,TV2069
XAUUSD,Sell,0.5,3379.42,Filled,2026-06-12 11:49:00,,TV2070
XAUUSD,Buy,0.5,3387.52,Filled,,2026-06-12 12:30:00,TV2071
NAS100,Buy,1.0,22014.44,Filled,2026-06-15 09:56:00,,TV2072
NAS100,Sell,1.0,22037.63,Filled,,2026-06-15 10:41:00,TV2073
US500,Sell,1.0,5979.07,Filled,2026-06-15 11:25:00,,TV2074
US500,Buy,1.0,5961.99,Filled,,2026-06-15 12:45:00,TV2075
XAUUSD,Buy,0.5,3387.52,Filled,2026-06-16 10:10:00,,TV2076
XAUUSD,Sell,0.5,3400.78,Filled,,2026-06-16 10:41:00,TV2077
US500,Buy,1.0,5961.99,Filled,2026-06-16 11:14:00,,TV2078
US500,Sell,1.0,5955.85,Filled,,2026-06-16 11:31:00,TV2079
NAS100,Sell,1.0,22037.63,Filled,2026-06-16 11:01:00,,TV2080
NAS100,Buy,1.0,21983.17,Filled,,2026-06-16 12:09:00,TV2081
